CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.953461,3.7131782033333334,9.168803999999977,2.3047832008186484,121.48648076771181,251.372283759
1,403200,1497.182089,3.7132492286706347,12.932451612903192,2.418740238465142,115.76274109438035,187.028748366
1,518400,1924.914582,3.713183993055556,12.554248275862042,1.826256743570359,153.31907793676143,145.469223122
1,614400,2281.393606,3.713205738932292,16.493459016393405,2.0243773409661427,138.3141345903273,122.738192089
1,691200,2566.641,3.7133116319444444,17.944527777777743,1.957724450039833,143.02319205049665,109.098688708
1,787200,2922.969319,3.7131215942581295,21.392526315789443,2.049345622001497,136.62897902333208,95.797270119
1,883200,3279.533369,3.7132397746829713,24.99199999999994,2.133891293455675,131.2156813511157,85.38297429
1,979200,3636.033088,3.71326908496732,25.58902631578945,1.9706534629156314,142.0848491473143,77.011662679
1,1075200,3992.357487,3.7131301032366073,27.68442028985504,1.9417361374889184,144.20084922666172,70.13822638
1,1171200,4348.839015,3.713148066086065,33.507218749999964,2.1575019860259936,129.77971831013025,64.389169454
1,1248000,4634.150378,3.7132615208333335,35.00501666666663,2.1151819453898266,132.37631902554662,60.425108936
1,1344000,4990.464648,3.7131433392857143,37.7041818181818,2.115606661257518,132.34974398954094,56.110663572
1,1420800,5275.652862,3.713156575168919,40.694576923076895,2.159957031214509,129.6322083974793,53.077269615
1,1516800,5632.329572,3.713297449894515,44.57085714285713,2.215905221555617,126.35919500358119,49.716459669
1,1612800,5988.28008,3.712971279761905,43.217717391304305,2.020857128593518,138.5550695485708,46.759922795
1,1708800,6344.890097,3.7130677065777156,41.726204545454486,1.8414846443970054,152.05122717256546,44.132570035
1,1804800,6701.931592,3.7133929476950356,46.95085365853655,1.9616401543012427,142.73769803602895,41.780713266
4,710400,6022.282445,8.47731200028153,56.75452173913039,2.6394580779743504,106.08238196186306,46.506568941
